"scenario","param_adjacent_overlap","param_ar1_rho","param_categorical_accuracy","param_categorical_contamination","param_family","param_interaction_state","param_k","param_moon_noise_sd","param_n","param_n_per_moon","param_p_numeric_noise","param_p_numeric_signal","param_q_categorical_noise","param_q_categorical_signal","setting_id","prop_nn","rho","numeric_block_weight","method","method_label","affinity","attempted_replicates","successful_results","mean_ARI","median_ARI","sd_ARI","mcse_mean_ARI"
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"KPrototypes","k-prototypes","not_applicable",1,1,0.966475346515058,0.966475346515058,NA,NA
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","gaussian",1,1,0.118712096429201,0.118712096429201,NA,NA
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","selftune",1,1,0.285563300535997,0.285563300535997,NA,NA
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","gaussian",1,1,0.658908154090437,0.658908154090437,NA,NA
"corrected_marginal_overlap","0.1","0.5","0.6",NA,"gaussian",NA,"3",NA,"90",NA,"0","6","0","4",1,0.1,0.25,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","selftune",1,1,0.630968834990414,0.630968834990414,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,0.929032258064516,0.929032258064516,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,0.929032258064516,0.929032258064516,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",1,1,0.469406392694064,0.469406392694064,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,1,0.794495412844037,0.794495412844037,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","gaussian",1,1,0.653211009174312,0.653211009174312,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","selftune",1,1,0.929032258064516,0.929032258064516,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","gaussian",1,1,0.770909090909091,0.770909090909091,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","selftune",1,1,0.58,0.58,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Gower_SC","Gower dissimilarity (spectral clustering)","gaussian",1,1,0.58,0.58,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Gower_SC","Gower dissimilarity (spectral clustering)","selftune",1,1,0.58,0.58,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"KPrototypes","k-prototypes","not_applicable",1,1,0.735483870967742,0.735483870967742,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","gaussian",1,1,0.929032258064516,0.929032258064516,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","selftune",1,1,0.929032258064516,0.929032258064516,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","gaussian",1,1,1,1,NA,NA
"nonlinear_interaction",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","selftune",1,1,1,1,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,0.784029038112523,0.784029038112523,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,0.784029038112523,0.784029038112523,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",1,1,0.784029038112523,0.784029038112523,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,1,0.784029038112523,0.784029038112523,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","gaussian",1,1,0.428934010152284,0.428934010152284,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"DKSS_SC","DKSS dependency-aware dissimilarity (spectral clustering)","selftune",1,1,0.428934010152284,0.428934010152284,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","gaussian",1,1,0.0217785843920144,0.0217785843920144,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Euclidean_onehot_SC","Standardized Euclidean one-hot dissimilarity (spectral clustering)","selftune",1,1,0.00144914409926637,0.00144914409926637,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Gower_SC","Gower dissimilarity (spectral clustering)","gaussian",1,1,-0.000726150494690112,-0.000726150494690112,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Gower_SC","Gower dissimilarity (spectral clustering)","selftune",1,1,-0.0167029774872912,-0.0167029774872912,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"KPrototypes","k-prototypes","not_applicable",1,1,0.126984126984127,0.126984126984127,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","gaussian",1,1,0.507579195788327,0.507579195788327,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Legacy_u_dep_interaction_SC","Legacy u_dep interaction implementation (spectral clustering)","selftune",1,1,0.685714285714286,0.685714285714286,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","gaussian",1,1,0.355087591903422,0.355087591903422,NA,NA
"null_interaction",NA,NA,NA,"0",NA,"null",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.1,0.5,1,"Modified_Gower_SC","Feature-weighted modified Gower dissimilarity (spectral clustering)","selftune",1,1,0.355087591903422,0.355087591903422,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.02,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.02,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.02,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",1,1,0.398190045248869,0.398190045248869,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,1,0.02,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,2,0.05,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,2,0.05,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,2,0.05,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",1,1,0.398190045248869,0.398190045248869,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,2,0.05,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,3,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,3,0.1,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,3,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",1,1,0.398190045248869,0.398190045248869,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,3,0.1,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,4,0.2,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","gaussian",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,4,0.2,0.5,1,"AB_BW_R1_interaction_SC","AB-BW R1 with interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,4,0.2,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","gaussian",1,1,0.398190045248869,0.398190045248869,NA,NA
"pi_nn_sensitivity",NA,NA,NA,"0",NA,"signal",NA,"0.08",NA,"18",NA,NA,"0",NA,4,0.2,0.5,1,"AB_BW_R1_no_interaction_SC","AB-BW R1 without interaction (spectral clustering)","selftune",1,1,1,1,NA,NA
